2020-07-28 09:23:21.775087;ali;login
2020-07-28 09:23:34.987310;ali;login
2020-07-28 09:23:43.405641;ali;login
2020-08-01 09:43:56.017927;ali;login
2020-08-01 09:49:25.996750;ali;login
2020-08-01 09:53:09.151416;ali;login
2020-08-01 09:55:11.433403;amir;login
2020-08-01 09:55:28.057036;amir;login
2020-08-01 09:58:13.483781;ali;login
2020-08-01 12:02:31.563474;amirr;login
2020-08-01 12:04:10.996684;ali;login
2020-08-01 12:08:21.670703;amirr;login
2020-08-01 12:09:44.455900;amirr;login
2020-08-01 12:21:36.507234;ali;login
2020-08-01 12:33:05.548923;ali;login
2020-08-01 12:36:03.767298;ali;login
2020-08-01 12:45:51.453895;ali;login
2020-08-01 12:49:48.705049;amirr;login
